context_num,range,batch_num,piece_count
37,1-44,batch_000,
,45-88,batch_001,
,89-112,batch_002,
,113-118,batch_003,
,119-166,batch_004,
,167-197,batch_005,
,198-213,batch_006,
,214-215,batch_007,
,216-225,batch_008,
,226-234,batch_009,
,235-247,batch_010,
,248-274,batch_011,
,275-297,batch_012,
,298-319,batch_013,
,320-344,batch_014,
,345-375,batch_015,
,376-393,batch_016,
,394-399,batch_017,
,,batch_018,
,,batch_019,
,,batch_020,
,,batch_021,
,,batch_022,
,,batch_023,
,,batch_024,
,,batch_025,
,,batch_026,
,,batch_027,
,,batch_028,
,,batch_029,
,,batch_030,
,,batch_031,
,,batch_032,
,,batch_033,
,,batch_034,
,,batch_035,
,,batch_036,
,,batch_037,
,,batch_038,
,,batch_039,
,,batch_040,
,,batch_041,
,,batch_042,
,,batch_043,
,,batch_044,
,,batch_045,
,,batch_046,
,,batch_047,
,,batch_048,
,,batch_049,
,,batch_050,
,,batch_051,
,,batch_052,
,,batch_053,
,,batch_054,
,,batch_055,
,,batch_056,
,,batch_057,
,,batch_058,
,,batch_059,
,,batch_060,
38,1-45,batch_000,6
,,batch_001,7
,,batch_002,7
,,batch_003,9
,,batch_004,8
,,batch_005,8
,46-80,batch_006,4
,,batch_007,3
,,batch_008,5
,,batch_009,9
,,batch_010,14
,81-141,batch_011,10
,,batch_012,11
,,batch_013,12
,,batch_014,13
,,batch_015,15
,142-164; 252-253,batch_016,6
,,batch_017,9
,,batch_018,10
,165-209,batch_019,1
,,batch_020,5
,,batch_021,6
,,batch_022,9
,,batch_023,12
,,batch_024,12
,210-251,batch_025,7
,,batch_026,6
,,batch_027,9
,,batch_028,10
,,batch_029,10
,254-262,batch_030,2
,,batch_031,3
,,batch_032,4
,263-311,batch_033,9
,,batch_034,9
,,batch_035,3
,,batch_036,11
,,batch_037,11
,,batch_038,4
,312-341,batch_039,7
,,batch_040,8
,,batch_041,11
,,batch_042,5
,342-375,batch_043,7
,,batch_044,9
,,batch_045,7
,,batch_046,6
,,batch_047,1
,,batch_048,2
,376-392,batch_049,6
,,batch_050,6
,,batch_051,3
,,batch_052,2
,393-411,batch_053,5
,,batch_054,4
,412-435,batch_055,4
,,batch_056,4
,436-495,batch_057,6
,,batch_058,7
,,batch_059,6
,496-500,batch_060,5
,,batch_061,12
,,batch_062,12
,,batch_063,13
,,batch_064,11
,,batch_065,12
,,batch_066,1
,,batch_067,2
,,batch_068,1
,501-515,batch_069,1
,,batch_070,5
,,batch_071,5
,,batch_072,10
,,batch_073,9
,516-609,batch_074,7
,,batch_075,8
,,batch_076,9
